tp,fp,fn,recall_loose_tp,recall_loose_fn,precision_loose_tp,precision_loose_fp,tp_ul,fp_ul,fn_ul
1,1,1,1,1,1,1,2,0,0
0,0,1,0,1,0,0,0,0,1
0,0,2,0,2,0,0,0,0,2
0,3,3,0,3,0,3,1,2,2
0,1,2,0,2,0,1,1,0,1
0,4,4,0,4,0,4,3,1,1
0,1,1,0,1,0,1,1,0,0
1,0,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,2,0,0
0,2,2,0,2,0,2,2,0,0
0,2,4,0,4,0,2,1,1,3
0,0,1,0,1,0,0,0,0,1
0,0,2,0,2,0,0,0,0,2
0,1,2,0,2,0,1,1,0,1
0,3,3,0,3,0,3,3,0,0
0,1,1,0,1,0,1,1,0,0
0,2,3,0,3,0,2,1,1,2
0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,1,3,0,3,0,1,1,0,2
0,1,4,0,4,0,1,1,0,3
0,0,0,0,0,0,0,0,0,0
0,2,3,1,2,1,1,1,1,2
0,0,1,0,1,0,0,0,0,1
0,2,2,0,2,0,2,2,0,0
1,1,1,1,1,1,1,2,0,0
0,3,4,0,4,0,3,2,1,2
0,1,4,0,4,0,1,1,0,3
0,2,4,0,4,0,2,2,0,2
0,1,1,0,1,0,1,1,0,0
0,3,2,0,2,0,3,1,2,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,21,0,21,0,0,0,0,21
0,0,2,0,2,0,0,0,0,2
1,1,1,2,0,2,0,1,1,1
0,2,3,0,3,0,2,1,1,2
0,2,2,0,2,0,2,1,1,1
0,0,1,0,1,0,0,0,0,1
0,0,2,0,2,0,0,0,0,2
0,1,1,0,1,0,1,1,0,0
0,4,3,0,3,0,4,1,3,2
0,2,2,0,2,0,2,2,0,0
0,3,3,0,3,0,3,2,1,1
0,2,2,0,2,0,2,2,0,0
0,3,3,0,3,0,3,2,1,1
0,0,14,0,14,0,0,0,0,14
0,1,14,1,13,1,0,0,1,14
0,0,1,0,1,0,0,0,0,1
0,0,2,0,2,0,0,0,0,2
0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,2,0,2,0,0,0,0,2
0,1,2,1,1,1,0,0,1,2
0,0,2,0,2,0,0,0,0,2
0,1,2,1,1,1,0,0,1,2
0,0,2,0,2,0,0,0,0,2
0,2,2,1,1,1,1,0,2,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,0,2,0,2,0,0,0,0,2
0,1,1,0,1,0,1,0,1,1
0,0,2,0,2,0,0,0,0,2
0,0,1,0,1,0,0,0,0,1
0,1,2,0,2,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,3,0,3,0,0,0,0,3
0,1,2,0,2,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0
0,2,2,0,2,0,2,2,0,0
0,1,2,0,2,0,1,0,1,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0
0,1,1,0,1,0,1,1,0,0
0,1,1,0,1,0,1,1,0,0
0,1,1,0,1,0,1,1,0,0
0,0,2,0,2,0,0,0,0,2
0,0,1,0,1,0,0,0,0,1
2,0,0,2,0,2,0,2,0,0
0,0,0,0,0,0,0,0,0,0
0,1,2,0,2,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,0,0,1
0,2,2,0,2,0,2,2,0,0
0,0,3,0,3,0,0,0,0,3
0,0,3,0,3,0,0,0,0,3
0,1,2,0,2,0,1,0,1,2
0,1,2,0,2,0,1,1,0,1
0,0,3,0,3,0,0,0,0,3
0,1,3,0,3,0,1,0,1,3
0,0,2,0,2,0,0,0,0,2
1,0,0,1,0,1,0,1,0,0
0,1,1,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,2,0,2,0,1,1,0,1
0,2,3,0,3,0,2,1,1,2
0,1,1,0,1,0,1,1,0,0
